doi,dataCiteClientId,dataCiteClientName,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.5281/zenodo.5831225,cern.zenodo,Zenodo,2022,Other,Sonification of complex spectral structures,Zenodo,2022-01-09T00:44:17Z,2022-01-09T00:44:18Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,5,,repository
10.5281/zenodo.5831224,cern.zenodo,Zenodo,2022,Other,Sonification of complex spectral structures,Zenodo,2022-01-09T00:44:19Z,2022-01-09T00:44:19Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,5,,repository
10.5281/zenodo.10473408,cern.zenodo,Zenodo,2023,ConferenceProceeding,Music and Installation Programme - The Sound and Music Computing Conference 2023,Zenodo,2024-01-09T09:52:45Z,2024-01-09T09:52:45Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,12,,repository
10.5281/zenodo.10473407,cern.zenodo,Zenodo,2023,ConferenceProceeding,Music and Installation Programme - The Sound and Music Computing Conference 2023,Zenodo,2024-01-09T09:53:06Z,2024-01-09T09:53:06Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,12,,repository
10.5281/zenodo.10829830,cern.zenodo,Zenodo,2024,ConferencePaper,Learning Body Movement Sonification in an Hour,Zenodo,2024-03-18T12:19:18Z,2024-03-18T12:19:19Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,7,,repository
10.5281/zenodo.10829831,cern.zenodo,Zenodo,2024,ConferencePaper,Learning Body Movement Sonification in an Hour,Zenodo,2024-03-18T12:19:18Z,2024-03-18T12:19:19Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,7,,repository
10.5281/zenodo.14339002,cern.zenodo,Zenodo,2024,ConferencePaper,A Speaker Agnostic Approach to Spatialisation in Electroacoustic Music,Zenodo,2024-12-09T17:27:03Z,2024-12-09T17:27:04Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,9,,repository
10.5281/zenodo.14339003,cern.zenodo,Zenodo,2024,ConferencePaper,A Speaker Agnostic Approach to Spatialisation in Electroacoustic Music,Zenodo,2024-12-09T17:27:03Z,2024-12-09T17:27:04Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,9,,repository
10.5281/zenodo.17642085,cern.zenodo,Zenodo,2025,Text,A Platform for Authoring Interactive Web Audio Learning Objects,Zenodo,2025-11-18T16:07:27Z,2025-11-19T09:09:43Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,9,,repository
10.5281/zenodo.17642084,cern.zenodo,Zenodo,2025,Text,A Platform for Authoring Interactive Web Audio Learning Objects,Zenodo,2025-11-18T16:07:29Z,2025-11-19T09:09:44Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,9,,repository
10.5281/zenodo.17642151,cern.zenodo,Zenodo,2025,Text,There and Back Again Composing for Networked Reverberation Chamber and Live Orchestra,Zenodo,2025-11-18T16:15:03Z,2025-11-19T09:11:55Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,12,,repository
10.5281/zenodo.17642150,cern.zenodo,Zenodo,2025,Text,There and Back Again Composing for Networked Reverberation Chamber and Live Orchestra,Zenodo,2025-11-18T16:15:04Z,2025-11-19T09:11:55Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,12,,repository
